STT,Mã TL,Nội dung mô tả,File gom được,Thư mục đích,Trạng thái
1,,"LỜI GIỚI THIỆU
Là vùng đất giàu truyền thống lịch sử và văn hóa, Huế không chỉ được biết đến với vai trò kinh đô của triều Nguyễn, mà còn là một trong những địa phương có bề dày hình thành và phát triển bộ máy chính quyền qua các thời kỳ lịch sử.
Thông qua những tài liệu, hình ảnh và tư liệu lưu trữ tiêu biểu, Triển lãm trực tuyến “Thành phố Huế - Dấu ấn tổ chức, quản lý chính quyền địa phương qua tài liệu lưu trữ”, giới thiệu quá trình hình thành, xây dựng và đổi mới tổ chức chính quyền địa phương từ khi thành lập thị xã Huế năm 1899 đến nay, phản ánh những nỗ lực cải cách hành chính, xây dựng chính quyền điện tử, chính quyền số và phát triển đô thị hiện đại. 
Các tài liệu lưu trữ không chỉ là minh chứng xác thực về lịch sử, tổ chức và hoạt động của chính quyền địa phương, mà còn góp phần khẳng định vai trò của công tác lưu trữ trong bảo tồn ký ức quản trị, phục vụ xây dựng nền hành chính chuyên nghiệp, hiện đại và phát triển bền vững.
 Ban Tổ chức",4...QD1242_23_8_1994 Thành lập Sở Địa chính tỉnh.pdf,2. Dẫn nhập,Thành công
1,,"LỜI GIỚI THIỆU
Là vùng đất giàu truyền thống lịch sử và văn hóa, Huế không chỉ được biết đến với vai trò kinh đô của triều Nguyễn, mà còn là một trong những địa phương có bề dày hình thành và phát triển bộ máy chính quyền qua các thời kỳ lịch sử.
Thông qua những tài liệu, hình ảnh và tư liệu lưu trữ tiêu biểu, Triển lãm trực tuyến “Thành phố Huế - Dấu ấn tổ chức, quản lý chính quyền địa phương qua tài liệu lưu trữ”, giới thiệu quá trình hình thành, xây dựng và đổi mới tổ chức chính quyền địa phương từ khi thành lập thị xã Huế năm 1899 đến nay, phản ánh những nỗ lực cải cách hành chính, xây dựng chính quyền điện tử, chính quyền số và phát triển đô thị hiện đại. 
Các tài liệu lưu trữ không chỉ là minh chứng xác thực về lịch sử, tổ chức và hoạt động của chính quyền địa phương, mà còn góp phần khẳng định vai trò của công tác lưu trữ trong bảo tồn ký ức quản trị, phục vụ xây dựng nền hành chính chuyên nghiệp, hiện đại và phát triển bền vững.
 Ban Tổ chức","A50...Bản đồ phương án thành lập thành phố trực thuộc trung ương và sắp xếp, thành lập các đơn vị hành chính cấp huyện, cấp xã thuộc thành phố trực thuộc trung ương năm 2023.jpg",2. Dẫn nhập,Thành công
2,Dẫn nhập,Dấu ấn kiến tạo đô thị Huế,[THƯ MỤC TIÊU ĐỀ],2. Dẫn nhập,Tiêu đề
3,A1,"Từ hai châu Ô và Lý được sáp nhập vào Đại Việt đầu thế kỷ XIV, vùng đất Huế từng bước trở thành trung tâm chính trị quan trọng của đất nước. Trải qua nhiều lần điều chỉnh đơn vị hành chính, Huế là thủ phủ Đàng Trong dưới thời các chúa Nguyễn và là kinh đô Phú Xuân dưới thời Tây Sơn, tạo tiền đề cho vai trò kinh đô của triều Nguyễn sau này.",A1.png,2. Dẫn nhập,Thành công
4,B1,"Cầu Trường Tiền bắc qua sông Hương được xây dựng năm 1897. 
Ảnh: Tư liệu sưu tầm",B1.jpg,2. Dẫn nhập,Thành công
5,,"Năm 1899, thị xã Huế được thành lập. Từ đây Huế chính thức trở thành một đô thị theo tiêu chuẩn phương Tây.",-,2. Dẫn nhập,Thiếu file
6,1899,"Bản đồ từ Huế đến Đà Nẵng trong cuốn ""Chuyến thám hiểm từ Huế vào Nam kỳ"" xuất bản năm 1899 của tác giả Camille Paris (1856-1908)
Nguồn: Ảnh sưu tầm gallica.bnf.fr/ark:/12148/bpt6k58577516/f1.planchecontact",1899...Bản đồ Huế. 1899.png,2. Dẫn nhập,Thành công
7,A2,"Huế, đầu thế kỷ XX: Toàn cảnh thành phố Huế, phía xa là lăng vua Tự Đức.
Ảnh: Paul Vieillard.
 Nguồn:https://gallica.bnf.fr/services/engine/search",A2. Hué_début_du_XXe_siècle_[...]Vieillard_Paul_btv1b101118766.JPEG,2. Dẫn nhập,Thành công
8,1909,"Bản đồ tỉnh Thừa Thiên trong tập bản đồ về Đông Dương thuộc Pháp
xuất bản năm 1909
Nguồn: https://humazur.univ-cotedazur.fr/s/Humazur",1909...bandothuathien-1909.jpg,2. Dẫn nhập,Thành công
9,,"1929: Ngày 12/12/1929, Toàn quyền Đông Dương ban hành Nghị định thành lập thành phố Huế trên cơ sở nâng cấp thị xã Huế. Đây là dấu mốc quan trọng trong quá trình tổ chức và quản lý đô thị, tạo điều kiện mở rộng không gian thành phố, thúc đẩy phát triển dân cư, thương mại và hạ tầng, đưa Huế trở thành một đô thị có quy mô trung bình dưới thời Pháp thuộc.",-,2. Dẫn nhập,Thiếu file
10,1932,"Ảnh chụp kinh thành Huế từ trên cao năm 1932. 
Nguồn: AAVH",1932..Kinh thanh Huế 1932.jpg,2. Dẫn nhập,Thành công
11,Phần 1,"Xây dựng, củng cố chính quyền địa phương sau ngày Độc lập",[THƯ MỤC TIÊU ĐỀ],3. Phần 1,Tiêu đề
12,,"Nhân dân Thừa Thiên-Huế tham gia giành chính quyền và kéo vào cửa Thượng Tứ ngày 23/8/1945, ngày cách mạng thắng lợi tại Huế. 
(Ảnh: Tư liệu TTXVN)
Nguồn: https://nhandan.vn/ngay-2381945-co-do-hue-gianh-chinh-quyen-ve-tay-nhan-dan-post902065.html",-,3. Phần 1,Thiếu file
13,,"Chiều 23/8/1945, hàng vạn người dân Huế và các lực lượng kéo về sân vận động Huế. (Ảnh tư liệu/VOV)",-,3. Phần 1,Thiếu file
14,A3,"Sắc lệnh số 77 ngày 21/12/1945 của Chủ tịch Chính phủ Lâm thời Việt Nam DCCH quy định việc tổ chức chính quyền nhân dân tại các thị xã và thành phố.
Nguồn: Trung tâm Lưu trữ quốc gia III.",A3,3. Phần 1,Thành công
15,,"1945: Huế tiếp tục là tỉnh lị của Thừa Thiên, thuộc Khu 4 cùng các tỉnh Thanh Hóa, Nghệ An, Hà Tĩnh, Quảng Bình, Quảng Trị.",-,3. Phần 1,Thiếu file
16,,"“Các thị trấn Hà Nội, Hải Phòng, Nam Định, Vinh - Bến Thuỷ, Huế, Đà Nẵng, Đà Lạt và Sài Gòn Chợ Lớn đều đặt làm thành phố.”
Trích: Sắc lệnh số 77 ngày 21/12/1945 của Chủ tịch Chính phủ Việt Nam DCCH quy định việc tổ chức chính quyền nhân dân tại các thị xã và thành phố. 
Nguồn: Trung tâm Lưu trữ quốc gia III.",-,3. Phần 1,Thiếu file
17,,"Ở mỗi thành phố sẽ đặt ba thứ cơ quan: 
Hội đồng nhân dân thành phố, 
Uỷ ban hành chính thành phố 
Uỷ ban hành chính khu phố.",-,3. Phần 1,Thiếu file
18,B39,"Sắc lệnh số 11 ngày 24/1/1946 của Chủ tịch Chính phủ lâm thời Việt Nam DCCH quy định Huế “tạm thời coi như là thị xã”.
Nguồn: Trung tâm Lưu trữ quốc gia III .",B39....ptt ml1 1311,3. Phần 1,Thành công
19,B40,"Sắc lệnh số 153 ngày 13/8/1946 của Chủ tịch Chính phủ lâm thời Việt Nam DCCH quy định sáp nhập Thành Nội và thành phố Huế.
Nguồn: Trung tâm Lưu trữ quốc gia III.",B40...ptt ml1 4,3. Phần 1,Thành công
20,,"Huế trải qua nhiều lần điều chỉnh về tổ chức chính quyền và địa giới hành chính. Việc thay đổi danh xưng hành chính cùng với quá trình phân chia, sắp xếp các quận, phường đã tạo nên diện mạo mới của đô thị Huế.",-,3. Phần 1,Thiếu file
21,A16,"Bản đồ Quận Hương Điền năm 1962.
Nguồn: Trung tâm Lưu trữ thành phố Huế.",A16. Quận Hương Điền (1).jpg,3. Phần 1,Thành công
22,A17,"Bản đồ Quận Hương Thuỷ năm 1962.
Nguồn: Trung tâm Lưu trữ thành phố Huế.",a17. Quận Hương Thuỷ.jpg,3. Phần 1,Thành công
23,A18,"Bản đồ Quận Phong Điền năm 1962.
Nguồn: Trung tâm Lưu trữ thành phố Huế.",a18. . Quận Phong Điền.jpg,3. Phần 1,Thành công
24,A19,"Bản đồ Quận Quảng Điền năm 1962.
Nguồn: Trung tâm Lưu trữ thành phố Huế.",a19.. Quận Quảng Điền.jpg,3. Phần 1,Thành công
25,A20,"Bản đồ Quận Vĩnh Lộc năm 1965.
Nguồn: Trung tâm Lưu trữ thành phố Huế.",a20. Quận Vinh Lộc.jpg,3. Phần 1,Thành công
